,365,405,436,486,546,577,589,656,zeroes,,,
-4,-6.60E-11,-7.60E-11,-8.90E-11,-1.00E-11,-9.20E-11,-4.50E-11,-1.50E-11,-8.40E-12,0.00E+00,,,
-3.99,-6.30E-11,-7.10E-11,-8.30E-11,-8.30E-12,-6.10E-11,-3.90E-11,-1.40E-11,-4.90E-12,0.00E+00,,,
-3.98,-6.10E-11,-6.70E-11,-8.10E-11,-8.60E-12,-5.60E-11,-3.80E-11,-1.20E-11,-3.50E-12,0.00E+00,,,
-3.97,-5.90E-11,-6.50E-11,-7.90E-11,-8.70E-12,-5.40E-11,-3.70E-11,-1.10E-11,-3.10E-12,0.00E+00,,,
-3.96,-5.80E-11,-6.40E-11,-7.80E-11,-7.60E-12,-5.20E-11,-3.80E-11,-1.10E-11,-2.10E-12,0.00E+00,,,
-3.95,-5.80E-11,-6.40E-11,-7.50E-11,-7.20E-12,-5.10E-11,-3.90E-11,-1.00E-11,-2.30E-12,0.00E+00,,,
-3.94,-5.60E-11,-6.30E-11,-7.50E-11,-7.40E-12,-5.00E-11,-3.90E-11,-9.90E-12,-1.90E-12,0.00E+00,,,
-3.93,-5.60E-11,-6.20E-11,-7.60E-11,-6.80E-12,-4.90E-11,-3.70E-11,-1.00E-11,-1.20E-12,0.00E+00,,,
-3.92,-5.60E-11,-6.10E-11,-7.50E-11,-7.30E-12,-4.90E-11,-3.50E-11,-1.00E-11,-1.50E-12,0.00E+00,,,
-3.91,-5.50E-11,-6.10E-11,-7.40E-11,-6.40E-12,-4.80E-11,-3.50E-11,-9.70E-12,-2.10E-12,0.00E+00,,,
-3.9,-5.60E-11,-6.10E-11,-7.40E-11,-6.60E-12,-4.80E-11,-3.70E-11,-9.70E-12,-1.00E-12,0.00E+00,,,
-3.89,-5.70E-11,-6.00E-11,-7.30E-11,-7.10E-12,-4.90E-11,-3.50E-11,-9.50E-12,-1.40E-12,0.00E+00,,,
-3.88,-5.60E-11,-6.00E-11,-7.40E-11,-7.00E-12,-4.80E-11,-3.40E-11,-9.50E-12,-1.10E-12,0.00E+00,,,
-3.87,-5.50E-11,-5.90E-11,-7.30E-11,-6.20E-12,-4.90E-11,-3.20E-11,-9.20E-12,-5.10E-13,0.00E+00,,,
-3.86,-5.50E-11,-5.90E-11,-7.30E-11,-6.40E-12,-4.70E-11,-3.40E-11,-9.10E-12,-5.70E-13,0.00E+00,,,
